province,country
Hawke's Bay,136
Helderberg,2
Hemel en Aarde,15
Hrvatsko Primorje,1
Hungary,7
Hvar,3
Ica,16
Idaho,192
Illinois,6
Imathia,1
Iowa,4
Ismarikos,3
Israel,16
Istria,23
Italy Other,135
Itata Valley,13
Jerusalem Hills,4
Jidvei,3
Jonkershoek Valley,4
Juanico,12
Judean Hills,116
Kakheti,73
Kamptal,409
Kathikas,1
Kentucky,1
Korinthia,3
Korčula,6
Krania Olympus,1
Kras,3
Kremstal,340
Krk,1
Kumeu,29
Kutjevo,5
Lakonia,2
Landwein Rhein,2
Languedoc-Roussillon,613
Lebanon,13
Leithaberg,42
Lemesos,1
Lesbos,1
Letrinon,2
Levante,454
Leyda Valley,230
Leyda Valley-Maipo Valley,2
Limarí Valley,104
Limnos,2
Lisboa,506
Loire Valley,1856
Lolol Valley,22
Lombardy,533
Loncomilla Valley,20
Lontué Valley,29
Lutzville Valley,1
Macedonia,10
Madeira,13
Maipo Valley,659
Maipo Valley-Colchagua Valley,3
Malgas,2
Malleco,3
Mantinia,26
Marchigue,24
Markopoulo,1
Marlborough,798
Martinborough,96
Massachusetts,7
Maule Valley,471
Mavrodaphne de Cephalonie,1
Mavrodaphne of Patras,4
Mendoza Province,3264
Messinia,1
Michigan,114
Middle and South Dalmatia,1
Minho,49
Missouri,33
Mittelburgenland,23
Mittelrhein,5
Moldova,54
Molina,8
Monemvasia,1
Montevideo,11
Moravia,12
Morocco,6
Moscatel de Setúbal,7
Moscatel do Douro,7
Mosel,1039
Mosel-Saar-Ruwer,104
Moselle Luxembourgeoise,6
Mostar,2
Mount Athos,2
Murfatlar,7
Muscat of Kefallonian,1
Muscat of Patras,1
Muzla,1
Mátra,3
Nahe,84
Naoussa,25
Nashik,9
Negev,3
Negev Hills,5
Nelson,41
Nemea,51
Neuchâtel,1
Neusiedlersee,13
Nevada,4
New Jersey,8
New Mexico,45
New South Wales,85
New York,2688
New Zealand,12
Niederösterreich,600
North Carolina,23
North Dalmatia,12
Northeastern Italy,2138
Northern Cape,2
Northern Spain,3851
Northwestern Italy,13
Obidos,8
Ohio,12
Olifants River,2
Ontario,96
Oregon,5373
Other,536
Overberg,9
Paardeberg,1
Paarl,75
Pafos,3
Pageon,4
Palmela,21
Panciu,2
Pangeon,17
Patras,3
Peljesac,13
Peloponnese,57
Pennsylvania,18
Península de Setúbal,152
Peumo,36
Pfalz,187
Philadelphia,4
Piedmont,3729
Piekenierskloof,1
Pinto Bandeira,6
Pirque,6
Pitsilia Mountains,1
Pocerina,1
Podunavlje,5
Polkadraai Hills,3
Port,601
Portugal,4
Portuguese Table Wine,26
Primorska,9
Progreso,11
Provence,1346
Puente Alto,15
Rapel Valley,162
Rapsani,3
Recas,13
Requinoa,2
Retsina,2
Rheingau,315
Rheinhessen,281
Rhode Island,1
Rhône Valley,1081
Ribatejano,15
Ribatejo,14
Rio Claro,5
Robertson,88
Romania,21
Sagrada Familia,2
Samos,6
Samson,12
San Antonio,70
San Antonio de las Minas Valley,2
San Clemente,4
San Jose,3
San Vicente,2
Santa Catarina,2
Santa Cruz,6
Santorini,48
Sebes,3
Serra Gaúcha,18
Serra do Sudeste,1
Setubal,23
Shomron,20
Sicily & Sardinia,1797
Simonsberg-Paarl,4
Simonsberg-Stellenbosch,41
Sithonia,3
Slovenia,6
Slovenska Istra,1
Sopron,4
South Africa,5
South Australia,1349
South Island,12
Southern Italy,1349
Southwest France,1503
Spain Other,64
Spanish Islands,28
Steiermark,20
Stellenbosch,443
Sterea Ellada,1
Swartland,73
Switzerland,3
Szekszárd,2
Südburgenland,2
Südoststeiermark,37
Südsteiermark,109
Table wine,1
Tarnave,5
Tasmania,42
Tejo,683
Terras do Dão,4
Terras do Sado,12
Texas,94
Thermenregion,128
Thessalikos,2
Thrace,16
Thracian Valley,110
Thraki,1
Ticino,1
Tikves,12
Tokaj,47
Tokaji,46
Traisental,43
Trás-os-Montes,14
Tulbagh,16
Turkey,17
Tuscany,5897
Távora-Varosa,2
Ukraine,14
Upper Galilee,32
Urla-Thrace,1
Uruguay,24
Valais,2
Vale Trentino,5
Vale dos Vinhedos,9
Valle de Guadalupe,66
Veneto,2716
Vermont,3
Victoria,322
Vienna,72
Viile Timis,1
Viile Timisului,22
Villány,24
Vin de Pays de Velvendo,2
Vinho Espumante,5
Vinho Espumante de Qualidade,22
Vinho Licoroso,3
Vinho Verde,410
Vinho da Mesa,1
Vipavska Dolina,12
Virginia,777
Vlootenburg,1
Vânju Mare,2
Wachau,353
Wagram,65
Wagram-Donauland,56
Waiheke Island,10
Waipara,25
Waipara Valley,16
Wairarapa,12
Wairau Valley,11
Waitaki Valley,2
Walker Bay,19
Washington,8639
Washington-Oregon,7
Weinland Österreich,18
Weinviertel,100
Wellington,23
Western Australia,286
Western Cape,281
Wiener Gemischter Satz,28
Württemberg,22
Zenata,19
Österreichischer Perlwein,4
Österreichischer Sekt,66
Štajerska,22
Župa,8
